"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","ONCOLOGY - SCIE","66,163","254.7","Q1","130.54","92.31"
"LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL - SCIE","365,044","168.9","Q1","21.68","26.22"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL - SCIE","456,891","158.5","Q1","24.51","2.33"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL - SCIE","211,699","120.7","Q1","11.17","2.13"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","1474-1784","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","48,043","120.1","('Q1', 'Q1')","12.45","6.03"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","1471-0080","CELL BIOLOGY - SCIE","65,845","112.7","Q1","8.82","2.08"
"BMJ-British Medical Journal","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL - SCIE","171,860","107.7","Q1","8.87","82.16"
"NATURE REVIEWS IMMUNOLOGY","1474-1733","1474-1741","IMMUNOLOGY - SCIE","66,033","100.3","Q1","8.11","1.65"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","1740-1534","MICROBIOLOGY - SCIE","53,344","88.1","Q1","6.76","4.17"
"Nature Reviews Materials","2058-8437","2058-8437","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","31,441","83.5","('Q1', 'Q1')","3.89","1.80"
"NATURE MEDICINE","1078-8956","1546-170X","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","139,574","82.9","('Q1', 'Q1', 'Q1')","14.06","28.10"
"Nature Reviews Disease Primers","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL - SCIE","27,771","81.5","Q1","17.54","7.69"
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","ONCOLOGY - SCIE","26,127","78.8","Q1","9.09","2.13"
"NATURE REVIEWS CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","63,667","78.5","Q1","8.86","0.72"
"Lancet Respiratory Medicine","2213-2600","","('CRITICAL CARE MEDICINE - SCIE', 'RESPIRATORY SYSTEM - SCIE')","26,770","76.2","('Q1', 'Q1')","11.75","21.55"
"World Psychiatry","1723-8617","2051-5545","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","12,296","73.3","('Q1', 'Q1')","9.06","0.00"
"Nature Reviews Gastroenterology & Hepatology","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY - SCIE","25,080","65.1","Q1","9.19","4.94"
"NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES - SCIE","964,818","64.8","Q1","11.43","19.06"
