"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","ONCOLOGY","('SCIE',)","78,841","685.2","Q1","114.10","100.00"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","1471-0080","CELL BIOLOGY","('SCIE',)","83,533","118.0","Q1","7.35","1.43"
"LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","('SCIE',)","378,842","109.0","Q1","23.89","25.49"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","1740-1534","MICROBIOLOGY","('SCIE',)","71,046","104.6","Q1","9.49","0.00"
"MMWR Surveillance Summaries","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","3,511","96.9","Q1","17.23","30.77"
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","ONCOLOGY","('SCIE',)","39,514","94.6","Q1","11.09","0.70"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","1474-1784","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE')","57,448","91.2","('Q1', 'Q1')","10.92","6.48"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","('SCIE',)","414,591","84.5","Q1","20.92","0.55"
"Nature Reviews Materials","2058-8437","2058-8437","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE')","49,906","83.3","('Q1', 'Q1')","4.44","1.44"
"Signal Transduction and Targeted Therapy","2095-9907","2059-3635","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","88,969","81.2","('Q1', 'Q1')","6.13","100.00"
"ANNALS OF ONCOLOGY","0923-7534","1569-8041","ONCOLOGY","('SCIE',)","68,920","80.4","Q1","9.94","38.32"
"Nature Reviews Disease Primers","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","('SCIE',)","45,742","79.8","Q1","16.97","1.74"
"World Psychiatry","1723-8617","2051-5545","PSYCHIATRY","('SCIE', 'SSCI')","17,298","79.5","Q1","15.21","1.59"
"Nature Reviews Earth & Environment","","2662-138X","('ENVIRONMENTAL SCIENCES', 'GEOSCIENCES, MULTIDISCIPLINARY', 'METEOROLOGY & ATMOSPHERIC SCIENCES')","('SCIE', 'SCIE', 'SCIE')","20,911","74.1","('Q1', 'Q1', 'Q1')","5.30","3.23"
"Nature Energy","2058-7546","2058-7546","('ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","64,421","70.1","('Q1', 'Q1')","8.82","22.63"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","('SCIE',)","205,027","65.4","Q1","11.42","0.94"
"Living Reviews in Relativity","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS","('SCIE',)","5,696","64.6","Q1","6.53","100.00"
"CHEMICAL REVIEWS","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","262,229","64.2","Q1","3.98","28.23"
"NATURE REVIEWS CANCER","1474-175X","1474-1768","ONCOLOGY","('SCIE',)","62,745","60.7","Q1","7.66","2.14"
"Nature Reviews Gastroenterology & Hepatology","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","35,643","57.5","Q1","6.89","0.71"
"NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","('SCIE',)","1,053,832","56.1","Q1","10.84","53.07"
"CANCER CELL","1535-6108","1878-3686","('CELL BIOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","64,398","56.1","('Q1', 'Q1')","8.22","41.76"
"Annual Review of Organizational Psychology and Organizational Behavior","2327-0608","2327-0616","('MANAGEMENT', 'PSYCHOLOGY, APPLIED')","('SSCI', 'SSCI')","8,791","55.9","('Q1', 'Q1')","4.90","98.25"
"BMJ-British Medical Journal","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","('SCIE',)","188,624","55.1","Q1","8.91","76.76"
"LANCET NEUROLOGY","1474-4422","1474-4465","CLINICAL NEUROLOGY","('SCIE',)","59,391","54.6","Q1","12.67","16.97"
"Nature Reviews Methods Primers","","2662-8449","MULTIDISCIPLINARY SCIENCES","('SCIE',)","14,296","54.2","Q1","7.90","0.00"
"eScience","2097-2431","2667-1417","('ELECTROCHEMISTRY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","9,810","52.9","('Q1', 'Q1')","5.63","100.00"
"NATURE MEDICINE","1078-8956","1546-170X","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE', 'SCIE')","154,284","52.5","('Q1', 'Q1', 'Q1')","9.88","61.40"
"NATURE REVIEWS GENETICS","1471-0056","1471-0064","GENETICS & HEREDITY","('SCIE',)","46,718","51.4","Q1","6.46","2.78"
"MMWR Recommendations and Reports","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","3,790","51.3","Q1","9.55","46.15"
"Electrochemical Energy Reviews","2520-8489","2520-8136","ELECTROCHEMISTRY","('SCIE',)","7,934","50.7","Q1","2.70","38.61"
"IEEE Communications Surveys and Tutorials","","1553-877X","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE')","37,232","50.6","('Q1', 'Q1')","10.71","13.13"
